event_id,session_id,customer_id,event_type,product_id,event_timestamp,device_type,traffic_source
5b5a6ec4-fa38-434c-8e2a-1045ce2ba322,SES-932578f61aac4d29,d71f9e25f2db23f5cdd2bd4d931e23e9,page_view,382132cf96c88a277a65226833af5f61,2016-09-24T07:31:01,tablet,paid_search
ae845d88-cbda-4abc-881c-6b588ce20e89,SES-932578f61aac4d29,d71f9e25f2db23f5cdd2bd4d931e23e9,product_view,382132cf96c88a277a65226833af5f61,2016-09-24T07:33:00,tablet,paid_search
729b1577-fbe2-413e-b893-32ffdc0ab298,SES-932578f61aac4d29,d71f9e25f2db23f5cdd2bd4d931e23e9,add_to_cart,382132cf96c88a277a65226833af5f61,2016-09-24T07:34:14,tablet,paid_search
c749ca6c-2631-4ed1-acc9-3a74e3ac9c25,SES-932578f61aac4d29,d71f9e25f2db23f5cdd2bd4d931e23e9,checkout,382132cf96c88a277a65226833af5f61,2016-09-24T07:34:30,tablet,paid_search
110974cd-0403-46a2-83c1-d41f26f4e306,SES-932578f61aac4d29,d71f9e25f2db23f5cdd2bd4d931e23e9,purchase,382132cf96c88a277a65226833af5f61,2016-09-24T07:35:50,tablet,paid_search
dda0d76c-a3bd-4f69-a795-50bcd288c275,SES-81f56c424e494055,8eb45c23e35fbd73046416ab84202f3c,page_view,0fdfe56a4dfd7aab5a321fe89f7fc63d,2016-09-28T00:44:12,mobile,organic_search
a7301721-1589-49ce-8949-e03bc7ad905e,SES-81f56c424e494055,8eb45c23e35fbd73046416ab84202f3c,product_view,0fdfe56a4dfd7aab5a321fe89f7fc63d,2016-09-28T00:44:42,mobile,organic_search
75a2fdc3-9b74-49d1-9f68-580e4a307a49,SES-81f56c424e494055,8eb45c23e35fbd73046416ab84202f3c,add_to_cart,0fdfe56a4dfd7aab5a321fe89f7fc63d,2016-09-28T00:46:18,mobile,organic_search
63dfffa4-ca72-46a2-9b1d-185c0ff1766a,SES-404e9227bcaf43cd,dab83626805f6066d8a70a34b8ab6bad,page_view,d5376c3b45290c7a326584c8307ab2c4,2017-02-23T02:35:40,desktop,email
d08a4a28-dba9-4e9c-8328-1686f7d14369,SES-404e9227bcaf43cd,dab83626805f6066d8a70a34b8ab6bad,product_view,d5376c3b45290c7a326584c8307ab2c4,2017-02-23T02:37:28,desktop,email
